tf,locus_tag
GOD1,YGR002C
RCS1,YGL071W
CDC47,YBR202W
CSN12,YJR084W
IWS1,YPR133C
QRI8,YMR022W
MAS6,YNR017W
RXT1,YPL181W
AOR1,YBR231C
RHR2,YIL053W
RMS1,YDR257C
SGI1,YDR346C
HOR2,YER062C
RLR1,YNL139C
VID21,YDR359C
PLO1,YPR179C
PLO2,YDR295C
YLL032C,YLL032C
ZMS1,YJR127C
CDC46,YLR274W
MED20,YHR041C
ADA1,YPL254W
YDR1,YDR397C
YLR278C,YLR278C
